timestamp,temperature,relative_humidity,heater_command,fan_command
1777760531.511,22.800,56.000,0.372,0.000
1777760532.765,22.900,56.000,0.381,0.000
1777760533.511,22.900,56.000,0.335,0.000
1777760534.769,22.900,56.000,0.335,0.000
1777760535.511,22.900,56.000,0.335,0.000
1777760536.765,22.900,56.000,0.335,0.000
1777760537.511,22.900,56.000,0.335,0.000
1777760538.768,23.000,56.000,0.286,0.000
1777760539.511,23.000,56.000,0.300,0.000
1777760540.766,23.000,56.000,0.300,0.000
1777760541.512,23.000,56.000,0.300,0.000
1777760545.020,23.100,55.000,0.249,0.000
1777760545.586,23.100,55.000,0.252,0.000
1777760546.586,23.100,55.000,0.249,0.000
1777760547.840,23.200,55.000,0.192,0.000
1777760548.586,23.200,55.000,0.201,0.000
1777760549.841,23.200,55.000,0.193,0.000
1777760550.586,23.200,55.000,0.189,0.000
1777760551.840,23.200,55.000,0.181,0.000
1777760552.586,23.200,55.000,0.177,0.000
1777760553.841,23.300,55.000,0.115,0.000
1777760554.587,23.300,55.000,0.121,0.000
1777760555.841,23.400,55.000,0.055,0.000
1777760556.587,23.400,55.000,0.059,0.000
1777760557.841,23.400,55.000,0.044,0.000
1777760558.587,23.400,55.000,0.035,0.000
1777760559.841,23.500,55.000,0.000,1.000
1777760560.587,23.500,55.000,0.000,1.000
1777760561.844,23.500,55.000,0.000,1.000
1777760562.587,23.500,55.000,0.000,1.000
1777760563.842,23.500,55.000,0.000,1.000
1777760564.588,23.500,55.000,0.000,1.000
1777760565.846,23.600,55.000,0.000,1.000
1777760566.588,23.600,55.000,0.000,1.000
1777760567.842,23.600,55.000,0.000,1.000
1777760568.588,23.600,55.000,0.000,1.000
1777760569.842,23.700,56.000,0.000,1.000
1777760570.588,23.700,56.000,0.000,1.000
1777760571.846,23.700,55.000,0.000,1.000
1777760572.588,23.700,55.000,0.000,1.000
1777760573.846,23.700,55.000,0.000,1.000
1777760574.589,23.700,55.000,0.000,1.000
1777760575.846,23.700,54.000,0.000,1.000
1777760576.589,23.700,54.000,0.000,1.000
1777760577.844,23.800,53.000,0.000,1.000
1777760578.589,23.800,53.000,0.000,1.000
1777760579.843,23.800,52.000,0.000,1.000
1777760580.589,23.800,52.000,0.000,1.000
1777760581.846,23.800,52.000,0.000,1.000
1777760582.589,23.800,52.000,0.000,1.000
1777760583.846,23.800,51.000,0.000,1.000
1777760584.589,23.800,51.000,0.000,1.000
1777760585.846,23.700,51.000,0.000,1.000
1777760586.590,23.700,51.000,0.000,1.000
1777760590.100,23.800,50.000,0.000,1.000
1777760590.660,23.800,50.000,0.000,1.000
1777760591.660,23.800,50.000,0.000,1.000
1777760592.915,23.900,49.000,0.000,1.000
1777760593.661,23.900,49.000,0.000,1.000
1777760594.915,23.800,49.000,0.000,1.000
1777760595.661,23.800,49.000,0.000,1.000
1777760596.918,23.800,49.000,0.000,1.000
1777760597.661,23.800,49.000,0.000,1.000
1777760598.918,23.700,49.000,0.000,1.000
1777760599.661,23.700,49.000,0.000,1.000
1777760600.918,23.800,49.000,0.000,1.000
1777760601.661,23.800,49.000,0.000,1.000
1777760602.918,23.700,49.000,0.000,1.000
1777760603.662,23.700,49.000,0.000,1.000
1777760604.916,23.700,48.000,0.000,1.000
1777760605.662,23.700,48.000,0.000,1.000
1777760606.916,23.600,48.000,0.000,1.000
1777760607.662,23.600,48.000,0.000,1.000
1777760608.916,23.600,48.000,0.000,1.000
1777760609.662,23.600,48.000,0.000,1.000
1777760610.917,23.500,48.000,0.000,1.000
1777760611.662,23.500,48.000,0.000,1.000
1777760612.917,23.500,48.000,0.000,1.000
1777760613.662,23.500,48.000,0.000,1.000
1777760614.917,23.500,48.000,0.000,1.000
1777760615.663,23.500,48.000,0.000,1.000
1777760616.919,23.500,48.000,0.000,1.000
1777760617.663,23.500,48.000,0.000,1.000
1777760618.917,23.400,48.000,0.000,1.000
1777760619.663,23.400,48.000,0.000,1.000
1777760620.918,23.500,48.000,0.000,1.000
1777760621.663,23.500,48.000,0.000,1.000
1777760622.918,23.500,48.000,0.000,1.000
1777760623.663,23.500,48.000,0.000,1.000
1777760627.176,23.200,48.000,0.000,1.000
1777760627.769,23.200,48.000,0.000,1.000
1777760628.769,23.200,48.000,0.000,1.000
1777760630.028,23.200,48.000,0.000,1.000
1777760630.769,23.200,48.000,0.000,1.000
1777760632.028,23.100,48.000,0.000,1.000
1777760632.770,23.100,48.000,0.000,1.000
1777760636.282,23.000,48.000,0.000,0.000
1777760636.837,23.000,48.000,0.000,0.000
1777760637.837,23.000,48.000,0.000,0.000
1777760639.094,23.000,48.000,0.000,0.000
1777760639.838,23.000,48.000,0.000,0.000
1777760641.092,23.000,48.000,0.000,0.000
1777760641.838,23.000,48.000,0.000,0.000
1777760643.092,23.000,48.000,0.000,0.000
1777760643.838,23.000,48.000,0.000,0.000
1777760645.092,22.900,49.000,0.000,0.000
1777760645.838,22.900,49.000,0.000,0.000
1777760647.093,22.900,49.000,0.000,0.000
1777760647.838,22.900,49.000,0.000,0.000
1777760649.093,22.900,49.000,0.000,0.000
1777760649.838,22.900,49.000,0.000,0.000
1777760651.093,22.800,50.000,0.000,0.000
1777760651.839,22.800,50.000,0.000,0.000
1777760653.093,22.800,50.000,0.000,0.000
1777760653.839,22.800,50.000,0.000,0.000
1777760655.093,22.700,50.000,0.000,0.000
1777760655.839,22.700,50.000,0.000,0.000
1777760657.094,22.700,50.000,0.000,0.000
1777760657.842,22.700,50.000,0.000,0.000
1777760659.098,22.700,51.000,0.000,0.000
1777760659.842,22.700,51.000,0.000,0.000
1777760661.096,22.600,51.000,0.000,0.000
1777760661.842,22.600,51.000,0.000,0.000
1777760663.099,22.700,51.000,0.000,0.000
1777760663.842,22.700,51.000,0.000,0.000
1777760665.097,22.600,51.000,0.012,0.000
1777760665.842,22.600,51.000,0.010,0.000
1777760667.097,22.600,51.000,0.025,0.000
1777760667.843,22.600,51.000,0.034,0.000
1777760669.097,22.600,51.000,0.049,0.000
1777760669.843,22.600,51.000,0.058,0.000
1777760671.099,22.500,52.000,0.126,0.000
1777760671.843,22.500,52.000,0.127,0.000
1777760673.097,22.500,52.000,0.146,0.000
1777760673.843,22.500,52.000,0.157,0.000
1777760675.097,22.500,52.000,0.176,0.000
1777760675.843,22.500,52.000,0.187,0.000
1777760677.098,22.500,52.000,0.206,0.000
1777760677.844,22.500,52.000,0.217,0.000
1777760679.102,22.500,52.000,0.236,0.000
1777760679.844,22.500,52.000,0.247,0.000
1777760681.098,22.500,52.000,0.266,0.000
1777760681.844,22.500,52.000,0.277,0.000
1777760683.098,22.500,52.000,0.296,0.000
1777760683.844,22.500,52.000,0.307,0.000
